168 [4.68e-01, 4.65e-01]
169 [4.68e-01, 4.65e-01]
170 [4.68e-01, 4.65e-01]
171 [4.68e-01, 4.65e-01]
172 [4.68e-01, 4.65e-01]
173 [4.68e-01, 4.65e-01]
174 [4.68e-01, 4.65e-01]
175 [4.68e-01, 4.65e-01]
176 [4.68e-01, 4.65e-01]
177 [4.68e-01, 4.65e-01]
178 [4.68e-01, 4.65e-01]
179 [4.68e-01, 4.65e-01]
180 [4.68e-01, 4.65e-01]
181 [4.68e-01, 4.65e-01]
182 [4.68e-01, 4.65e-01]
183 [4.68e-01, 4.65e-01]
184 [4.68e-01, 4.65e-01]
185 [4.68e-01, 4.65e-01]
186 [4.68e-01, 4.65e-01]
187 [4.68e-01, 4.65e-01]
188 [4.68e-01, 4.65e-01]
189 [4.68e-01, 4.65e-01]
190 [4.68e-01, 4.65e-01]
191 [4.68e-01, 4.65e-01]
192 [4.68e-01, 4.65e-01]
193 [4.68e-01, 4.65e-01]
194 [4.68e-01, 4.65e-01]
195 [4.68e-01, 4.65e-01]
196 [4.68e-01, 4.65e-01]
197 [4.68e-01, 4.65e-01]
198 [4.68e-01, 4.65e-01]
199 [4.68e-01, 4.65e-01]
200 [4.68e-01, 4.65e-01]
201 [4.68e-01, 4.65e-01]
202 [4.68e-01, 4.65e-01]
203 [4.68e-01, 4.65e-01]
204 [4.68e-01, 4.65e-01]
205 [4.68e-01, 4.65e-01]
206 [4.68e-01, 4.65e-01]
207 [4.68e-01, 4.65e-01]
208 [4.68e-01, 4.65e-01]
209 [4.68e-01, 4.65e-01]
210 [4.68e-01, 4.65e-01]
211 [4.68e-01, 4.65e-01]
212 [4.68e-01, 4.65e-01]
213 [4.68e-01, 4.65e-01]
214 [4.68e-01, 4.65e-01]
215 [4.68e-01, 4.65e-01]
216 [4.68e-01, 4.65e-01]
217 [4.68e-01, 4.65e-01]
218 [4.68e-01, 4.65e-01]
219 [4.68e-01, 4.65e-01]
220 [4.68e-01, 4.65e-01]
221 [4.68e-01, 4.65e-01]
222 [4.68e-01, 4.65e-01]
223 [4.68e-01, 4.65e-01]
224 [4.68e-01, 4.65e-01]
225 [4.68e-01, 4.65e-01]
226 [4.68e-01, 4.65e-01]
227 [4.68e-01, 4.65e-01]
228 [4.68e-01, 4.65e-01]
229 [4.68e-01, 4.65e-01]
230 [4.68e-01, 4.65e-01]
231 [4.68e-01, 4.65e-01]
232 [4.68e-01, 4.65e-01]
233 [4.68e-01, 4.65e-01]
234 [4.68e-01, 4.65e-01]
235 [4.68e-01, 4.65e-01]
236 [4.68e-01, 4.65e-01]
237 [4.68e-01, 4.65e-01]
238 [4.68e-01, 4.65e-01]
239 [4.68e-01, 4.65e-01]
240 [4.68e-01, 4.65e-01]
241 [4.68e-01, 4.65e-01]
242 [4.68e-01, 4.65e-01]
243 [4.68e-01, 4.65e-01]
244 [4.68e-01, 4.65e-01]
245 [4.68e-01, 4.65e-01]
246 [4.68e-01, 4.64e-01]
247 [4.68e-01, 4.64e-01]
248 [4.68e-01, 4.64e-01]
249 [4.68e-01, 4.64e-01]
250 [4.68e-01, 4.64e-01]
251 [4.68e-01, 4.64e-01]
252 [4.68e-01, 4.64e-01]
253 [4.68e-01, 4.64e-01]
254 [4.68e-01, 4.64e-01]
255 [4.68e-01, 4.64e-01]
256 [4.68e-01, 4.64e-01]
257 [4.68e-01, 4.64e-01]
258 [4.68e-01, 4.64e-01]
259 [4.68e-01, 4.64e-01]
260 [4.68e-01, 4.64e-01]
261 [4.68e-01, 4.64e-01]
262 [4.68e-01, 4.64e-01]
263 [4.68e-01, 4.64e-01]
264 [4.68e-01, 4.64e-01]
265 [4.68e-01, 4.64e-01]
266 [4.68e-01, 4.64e-01]
267 [4.68e-01, 4.64e-01]
268 [4.68e-01, 4.64e-01]
269 [4.68e-01, 4.64e-01]
270 [4.68e-01, 4.64e-01]
271 [4.68e-01, 4.64e-01]
272 [4.68e-01, 4.64e-01]
273 [4.68e-01, 4.64e-01]
274 [4.68e-01, 4.64e-01]
275 [4.68e-01, 4.64e-01]
276 [4.68e-01, 4.64e-01]
277 [4.68e-01, 4.64e-01]
278 [4.68e-01, 4.64e-01]
279 [4.68e-01, 4.64e-01]
280 [4.68e-01, 4.64e-01]
281 [4.68e-01, 4.64e-01]
282 [4.68e-01, 4.64e-01]
283 [4.68e-01, 4.64e-01]
284 [4.68e-01, 4.64e-01]
285 [4.68e-01, 4.64e-01]
286 [4.68e-01, 4.64e-01]
287 [4.68e-01, 4.64e-01]
288 [4.68e-01, 4.64e-01]
289 [4.68e-01, 4.64e-01]
290 [4.68e-01, 4.64e-01]
291 [4.68e-01, 4.64e-01]
292 [4.68e-01, 4.64e-01]
293 [4.68e-01, 4.64e-01]
294 [4.68e-01, 4.64e-01]
295 [4.68e-01, 4.64e-01]
296 [4.68e-01, 4.64e-01]
297 [4.68e-01, 4.64e-01]
298 [4.68e-01, 4.64e-01]
299 [4.68e-01, 4.64e-01]
300 [4.68e-01, 4.64e-01]
301 [4.68e-01, 4.64e-01]
302 [4.68e-01, 4.64e-01]
303 [4.68e-01, 4.64e-01]
304 [4.68e-01, 4.64e-01]
305 [4.68e-01, 4.64e-01]
306 [4.67e-01, 4.64e-01]
307 [4.67e-01, 4.64e-01]
308 [4.67e-01, 4.64e-01]
309 [4.67e-01, 4.64e-01]
310 [4.67e-01, 4.64e-01]
311 [4.67e-01, 4.64e-01]
312 [4.67e-01, 4.64e-01]
313 [4.67e-01, 4.64e-01]
314 [4.67e-01, 4.64e-01]
315 [4.67e-01, 4.64e-01]
316 [4.67e-01, 4.64e-01]
317 [4.67e-01, 4.64e-01]
318 [4.67e-01, 4.64e-01]
319 [4.67e-01, 4.64e-01]
320 [4.67e-01, 4.64e-01]
321 [4.67e-01, 4.64e-01]
322 [4.67e-01, 4.64e-01]
323 [4.67e-01, 4.64e-01]
324 [4.67e-01, 4.64e-01]
325 [4.67e-01, 4.64e-01]
326 [4.67e-01, 4.64e-01]
327 [4.67e-01, 4.64e-01]
328 [4.67e-01, 4.64e-01]
329 [4.67e-01, 4.64e-01]
330 [4.67e-01, 4.64e-01]
331 [4.67e-01, 4.64e-01]
332 [4.67e-01, 4.64e-01]
333 [4.67e-01, 4.64e-01]
334 [4.67e-01, 4.64e-01]
335 [4.67e-01, 4.64e-01]
336 [4.67e-01, 4.64e-01]
337 [4.67e-01, 4.64e-01]
338 [4.67e-01, 4.64e-01]
339 [4.67e-01, 4.64e-01]
340 [4.67e-01, 4.64e-01]
341 [4.67e-01, 4.64e-01]
342 [4.67e-01, 4.64e-01]
343 [4.67e-01, 4.64e-01]
344 [4.67e-01, 4.64e-01]
345 [4.67e-01, 4.64e-01]
346 [4.67e-01, 4.64e-01]
347 [4.67e-01, 4.64e-01]
348 [4.67e-01, 4.64e-01]
349 [4.67e-01, 4.64e-01]
350 [4.67e-01, 4.64e-01]
351 [4.67e-01, 4.64e-01]
352 [4.67e-01, 4.64e-01]
353 [4.67e-01, 4.64e-01]
354 [4.67e-01, 4.64e-01]
355 [4.67e-01, 4.64e-01]
356 [4.67e-01, 4.64e-01]
357 [4.67e-01, 4.64e-01]
358 [4.67e-01, 4.64e-01]
359 [4.67e-01, 4.64e-01]
360 [4.67e-01, 4.64e-01]
361 [4.67e-01, 4.64e-01]
362 [4.67e-01, 4.64e-01]
363 [4.67e-01, 4.64e-01]
364 [4.67e-01, 4.64e-01]
365 [4.67e-01, 4.64e-01]
366 [4.67e-01, 4.64e-01]
367 [4.67e-01, 4.64e-01]
368 [4.67e-01, 4.64e-01]
369 [4.67e-01, 4.64e-01]
370 [4.67e-01, 4.64e-01]
371 [4.67e-01, 4.64e-01]
372 [4.67e-01, 4.64e-01]
373 [4.67e-01, 4.64e-01]
374 [4.67e-01, 4.64e-01]
375 [4.67e-01, 4.64e-01]
376 [4.67e-01, 4.64e-01]
377 [4.67e-01, 4.64e-01]
378 [4.67e-01, 4.64e-01]
379 [4.67e-01, 4.64e-01]
380 [4.67e-01, 4.64e-01]
381 [4.67e-01, 4.64e-01]
382 [4.67e-01, 4.64e-01]
383 [4.67e-01, 4.64e-01]
384 [4.67e-01, 4.64e-01]
385 [4.67e-01, 4.64e-01]
386 [4.67e-01, 4.64e-01]
387 [4.67e-01, 4.64e-01]
388 [4.67e-01, 4.64e-01]
389 [4.67e-01, 4.64e-01]
390 [4.67e-01, 4.64e-01]
391 [4.67e-01, 4.64e-01]
392 [4.67e-01, 4.64e-01]
393 [4.67e-01, 4.64e-01]
394 [4.67e-01, 4.64e-01]
395 [4.67e-01, 4.64e-01]
396 [4.67e-01, 4.64e-01]
397 [4.67e-01, 4.64e-01]
398 [4.67e-01, 4.64e-01]
399 [4.67e-01, 4.64e-01]
400 [4.67e-01, 4.64e-01]
401 [4.67e-01, 4.64e-01]
