168 [3.40e-01, 6.10e-01]
169 [3.37e-01, 6.13e-01]
170 [3.35e-01, 6.15e-01]
171 [3.32e-01, 6.17e-01]
172 [3.30e-01, 6.20e-01]
173 [3.27e-01, 6.22e-01]
174 [3.25e-01, 6.24e-01]
175 [3.23e-01, 6.26e-01]
176 [3.20e-01, 6.29e-01]
177 [3.18e-01, 6.31e-01]
178 [3.15e-01, 6.33e-01]
179 [3.13e-01, 6.35e-01]
180 [3.11e-01, 6.38e-01]
181 [3.08e-01, 6.40e-01]
182 [3.06e-01, 6.42e-01]
183 [3.03e-01, 6.44e-01]
184 [3.01e-01, 6.46e-01]
185 [2.99e-01, 6.49e-01]
186 [2.96e-01, 6.51e-01]
187 [2.94e-01, 6.53e-01]
188 [2.92e-01, 6.55e-01]
189 [2.89e-01, 6.57e-01]
190 [2.87e-01, 6.59e-01]
191 [2.85e-01, 6.61e-01]
192 [2.82e-01, 6.64e-01]
193 [2.80e-01, 6.66e-01]
194 [2.78e-01, 6.68e-01]
195 [2.75e-01, 6.70e-01]
196 [2.73e-01, 6.72e-01]
197 [2.71e-01, 6.74e-01]
198 [2.68e-01, 6.76e-01]
199 [2.66e-01, 6.78e-01]
200 [2.64e-01, 6.80e-01]
201 [2.61e-01, 6.82e-01]
202 [2.59e-01, 6.84e-01]
203 [2.57e-01, 6.86e-01]
204 [2.55e-01, 6.88e-01]
205 [2.52e-01, 6.90e-01]
206 [2.50e-01, 6.92e-01]
207 [2.48e-01, 6.94e-01]
208 [2.46e-01, 6.96e-01]
209 [2.43e-01, 6.98e-01]
210 [2.41e-01, 7.00e-01]
211 [2.39e-01, 7.01e-01]
212 [2.37e-01, 7.03e-01]
213 [2.34e-01, 7.05e-01]
214 [2.32e-01, 7.07e-01]
215 [2.30e-01, 7.09e-01]
216 [2.28e-01, 7.11e-01]
217 [2.26e-01, 7.12e-01]
218 [2.23e-01, 7.14e-01]
219 [2.21e-01, 7.16e-01]
220 [2.19e-01, 7.18e-01]
221 [2.17e-01, 7.19e-01]
222 [2.15e-01, 7.21e-01]
223 [2.13e-01, 7.23e-01]
224 [2.10e-01, 7.24e-01]
225 [2.08e-01, 7.26e-01]
226 [2.06e-01, 7.28e-01]
227 [2.04e-01, 7.29e-01]
228 [2.02e-01, 7.31e-01]
229 [2.00e-01, 7.32e-01]
230 [1.98e-01, 7.34e-01]
231 [1.96e-01, 7.35e-01]
232 [1.93e-01, 7.37e-01]
233 [1.91e-01, 7.38e-01]
234 [1.89e-01, 7.40e-01]
235 [1.87e-01, 7.41e-01]
236 [1.85e-01, 7.43e-01]
237 [1.83e-01, 7.44e-01]
238 [1.81e-01, 7.45e-01]
239 [1.79e-01, 7.46e-01]
240 [1.77e-01, 7.48e-01]
241 [1.75e-01, 7.49e-01]
242 [1.73e-01, 7.50e-01]
243 [1.71e-01, 7.51e-01]
244 [1.69e-01, 7.53e-01]
245 [1.67e-01, 7.54e-01]
246 [1.65e-01, 7.55e-01]
247 [1.63e-01, 7.56e-01]
248 [1.61e-01, 7.57e-01]
249 [1.59e-01, 7.58e-01]
250 [1.57e-01, 7.59e-01]
251 [1.55e-01, 7.60e-01]
252 [1.53e-01, 7.61e-01]
253 [1.51e-01, 7.61e-01]
254 [1.49e-01, 7.62e-01]
255 [1.47e-01, 7.63e-01]
256 [1.46e-01, 7.64e-01]
257 [1.44e-01, 7.64e-01]
258 [1.42e-01, 7.65e-01]
259 [1.40e-01, 7.65e-01]
260 [1.38e-01, 7.66e-01]
261 [1.36e-01, 7.66e-01]
262 [1.34e-01, 7.67e-01]
263 [1.33e-01, 7.67e-01]
264 [1.31e-01, 7.67e-01]
265 [1.29e-01, 7.68e-01]
266 [1.27e-01, 7.68e-01]
267 [1.25e-01, 7.68e-01]
268 [1.24e-01, 7.68e-01]
269 [1.22e-01, 7.68e-01]
270 [1.20e-01, 7.68e-01]
271 [1.18e-01, 7.68e-01]
272 [1.17e-01, 7.68e-01]
273 [1.15e-01, 7.68e-01]
274 [1.13e-01, 7.67e-01]
275 [1.12e-01, 7.67e-01]
276 [1.10e-01, 7.67e-01]
277 [1.08e-01, 7.66e-01]
278 [1.07e-01, 7.66e-01]
279 [1.05e-01, 7.65e-01]
280 [1.03e-01, 7.64e-01]
281 [1.02e-01, 7.64e-01]
282 [1.00e-01, 7.63e-01]
283 [9.86e-02, 7.62e-01]
284 [9.71e-02, 7.61e-01]
285 [9.55e-02, 7.60e-01]
286 [9.40e-02, 7.59e-01]
287 [9.25e-02, 7.58e-01]
288 [9.10e-02, 7.57e-01]
289 [8.95e-02, 7.56e-01]
290 [8.80e-02, 7.54e-01]
291 [8.65e-02, 7.53e-01]
292 [8.51e-02, 7.51e-01]
293 [8.36e-02, 7.50e-01]
294 [8.22e-02, 7.48e-01]
295 [8.08e-02, 7.47e-01]
296 [7.94e-02, 7.45e-01]
297 [7.81e-02, 7.43e-01]
298 [7.67e-02, 7.42e-01]
299 [7.54e-02, 7.40e-01]
300 [7.40e-02, 7.38e-01]
301 [7.27e-02, 7.36e-01]
302 [7.14e-02, 7.34e-01]
303 [7.01e-02, 7.32e-01]
304 [6.89e-02, 7.30e-01]
305 [6.76e-02, 7.28e-01]
306 [6.64e-02, 7.26e-01]
307 [6.52e-02, 7.24e-01]
308 [6.40e-02, 7.22e-01]
309 [6.28e-02, 7.20e-01]
310 [6.17e-02, 7.17e-01]
311 [6.05e-02, 7.15e-01]
312 [5.94e-02, 7.13e-01]
313 [5.83e-02, 7.11e-01]
314 [5.72e-02, 7.08e-01]
315 [5.61e-02, 7.06e-01]
316 [5.51e-02, 7.04e-01]
317 [5.40e-02, 7.01e-01]
318 [5.30e-02, 6.99e-01]
319 [5.20e-02, 6.96e-01]
320 [5.10e-02, 6.94e-01]
321 [5.01e-02, 6.91e-01]
322 [4.91e-02, 6.89e-01]
323 [4.82e-02, 6.86e-01]
324 [4.73e-02, 6.84e-01]
325 [4.64e-02, 6.81e-01]
326 [4.55e-02, 6.79e-01]
327 [4.46e-02, 6.76e-01]
328 [4.38e-02, 6.74e-01]
329 [4.30e-02, 6.71e-01]
330 [4.21e-02, 6.69e-01]
331 [4.14e-02, 6.66e-01]
332 [4.06e-02, 6.64e-01]
333 [3.98e-02, 6.61e-01]
334 [3.91e-02, 6.59e-01]
335 [3.84e-02, 6.56e-01]
336 [3.77e-02, 6.53e-01]
337 [3.70e-02, 6.51e-01]
338 [3.63e-02, 6.48e-01]
339 [3.57e-02, 6.46e-01]
340 [3.51e-02, 6.43e-01]
341 [3.44e-02, 6.41e-01]
342 [3.39e-02, 6.38e-01]
343 [3.33e-02, 6.35e-01]
344 [3.27e-02, 6.33e-01]
345 [3.22e-02, 6.30e-01]
346 [3.16e-02, 6.28e-01]
347 [3.11e-02, 6.25e-01]
348 [3.06e-02, 6.23e-01]
349 [3.01e-02, 6.20e-01]
350 [2.97e-02, 6.18e-01]
351 [2.92e-02, 6.15e-01]
352 [2.88e-02, 6.12e-01]
353 [2.83e-02, 6.10e-01]
354 [2.79e-02, 6.07e-01]
355 [2.75e-02, 6.05e-01]
356 [2.71e-02, 6.02e-01]
357 [2.68e-02, 6.00e-01]
358 [2.64e-02, 5.97e-01]
359 [2.61e-02, 5.95e-01]
360 [2.57e-02, 5.92e-01]
361 [2.54e-02, 5.90e-01]
362 [2.51e-02, 5.88e-01]
363 [2.48e-02, 5.85e-01]
364 [2.45e-02, 5.83e-01]
365 [2.42e-02, 5.80e-01]
366 [2.40e-02, 5.78e-01]
367 [2.37e-02, 5.75e-01]
368 [2.35e-02, 5.73e-01]
369 [2.32e-02, 5.70e-01]
370 [2.30e-02, 5.68e-01]
371 [2.28e-02, 5.66e-01]
372 [2.26e-02, 5.63e-01]
373 [2.23e-02, 5.61e-01]
374 [2.21e-02, 5.59e-01]
375 [2.20e-02, 5.56e-01]
376 [2.18e-02, 5.54e-01]
377 [2.16e-02, 5.51e-01]
378 [2.14e-02, 5.49e-01]
379 [2.12e-02, 5.47e-01]
380 [2.11e-02, 5.45e-01]
381 [2.09e-02, 5.42e-01]
382 [2.08e-02, 5.40e-01]
383 [2.06e-02, 5.38e-01]
384 [2.05e-02, 5.35e-01]
