0 [1.00e+00, 1.00e+00]
168 [9.67e-01, 9.64e-01]
169 [9.67e-01, 9.64e-01]
170 [9.67e-01, 9.63e-01]
171 [9.67e-01, 9.63e-01]
172 [9.67e-01, 9.63e-01]
173 [9.67e-01, 9.63e-01]
174 [9.67e-01, 9.63e-01]
175 [9.67e-01, 9.63e-01]
176 [9.67e-01, 9.62e-01]
177 [9.67e-01, 9.62e-01]
178 [9.67e-01, 9.62e-01]
179 [9.67e-01, 9.62e-01]
180 [9.67e-01, 9.62e-01]
181 [9.67e-01, 9.61e-01]
182 [9.67e-01, 9.61e-01]
183 [9.67e-01, 9.61e-01]
184 [9.67e-01, 9.61e-01]
185 [9.67e-01, 9.61e-01]
186 [9.67e-01, 9.61e-01]
187 [9.67e-01, 9.60e-01]
188 [9.67e-01, 9.60e-01]
189 [9.67e-01, 9.60e-01]
190 [9.67e-01, 9.60e-01]
191 [9.67e-01, 9.60e-01]
192 [9.67e-01, 9.59e-01]
193 [9.67e-01, 9.59e-01]
194 [9.67e-01, 9.59e-01]
195 [9.67e-01, 9.59e-01]
196 [9.67e-01, 9.59e-01]
197 [9.67e-01, 9.59e-01]
198 [9.67e-01, 9.58e-01]
199 [9.66e-01, 9.58e-01]
200 [9.66e-01, 9.58e-01]
201 [9.66e-01, 9.58e-01]
202 [9.66e-01, 9.58e-01]
203 [9.66e-01, 9.58e-01]
204 [9.66e-01, 9.57e-01]
205 [9.66e-01, 9.57e-01]
206 [9.66e-01, 9.57e-01]
207 [9.66e-01, 9.57e-01]
208 [9.66e-01, 9.57e-01]
209 [9.66e-01, 9.56e-01]
210 [9.66e-01, 9.56e-01]
211 [9.66e-01, 9.56e-01]
212 [9.66e-01, 9.56e-01]
213 [9.66e-01, 9.56e-01]
214 [9.66e-01, 9.56e-01]
215 [9.66e-01, 9.55e-01]
216 [9.66e-01, 9.55e-01]
217 [9.66e-01, 9.55e-01]
218 [9.66e-01, 9.55e-01]
219 [9.66e-01, 9.55e-01]
220 [9.66e-01, 9.55e-01]
221 [9.66e-01, 9.54e-01]
222 [9.66e-01, 9.54e-01]
223 [9.66e-01, 9.54e-01]
224 [9.66e-01, 9.54e-01]
225 [9.66e-01, 9.54e-01]
226 [9.66e-01, 9.54e-01]
227 [9.66e-01, 9.53e-01]
228 [9.66e-01, 9.53e-01]
229 [9.66e-01, 9.53e-01]
230 [9.66e-01, 9.53e-01]
231 [9.66e-01, 9.53e-01]
232 [9.66e-01, 9.53e-01]
233 [9.66e-01, 9.52e-01]
234 [9.66e-01, 9.52e-01]
235 [9.66e-01, 9.52e-01]
236 [9.66e-01, 9.52e-01]
237 [9.66e-01, 9.52e-01]
238 [9.66e-01, 9.52e-01]
239 [9.66e-01, 9.51e-01]
240 [9.66e-01, 9.51e-01]
241 [9.66e-01, 9.51e-01]
242 [9.66e-01, 9.51e-01]
243 [9.66e-01, 9.51e-01]
244 [9.66e-01, 9.51e-01]
245 [9.66e-01, 9.50e-01]
246 [9.66e-01, 9.50e-01]
247 [9.66e-01, 9.50e-01]
248 [9.66e-01, 9.50e-01]
249 [9.66e-01, 9.50e-01]
250 [9.66e-01, 9.50e-01]
