147 [4.63e-01, 3.10e-01]
148 [4.63e-01, 3.10e-01]
149 [4.63e-01, 3.10e-01]
150 [4.63e-01, 3.09e-01]
151 [4.63e-01, 3.09e-01]
152 [4.63e-01, 3.09e-01]
153 [4.63e-01, 3.09e-01]
154 [4.63e-01, 3.09e-01]
155 [4.63e-01, 3.09e-01]
156 [4.63e-01, 3.09e-01]
157 [4.63e-01, 3.09e-01]
158 [4.63e-01, 3.09e-01]
159 [4.63e-01, 3.09e-01]
160 [4.63e-01, 3.09e-01]
161 [4.63e-01, 3.09e-01]
162 [4.62e-01, 3.09e-01]
163 [4.62e-01, 3.09e-01]
164 [4.62e-01, 3.09e-01]
165 [4.62e-01, 3.09e-01]
166 [4.62e-01, 3.09e-01]
167 [4.62e-01, 3.09e-01]
168 [4.62e-01, 3.09e-01]
169 [4.62e-01, 3.09e-01]
170 [4.62e-01, 3.09e-01]
171 [4.62e-01, 3.09e-01]
172 [4.62e-01, 3.09e-01]
173 [4.62e-01, 3.09e-01]
174 [4.62e-01, 3.09e-01]
175 [4.62e-01, 3.09e-01]
176 [4.62e-01, 3.09e-01]
177 [4.62e-01, 3.08e-01]
178 [4.62e-01, 3.08e-01]
179 [4.62e-01, 3.08e-01]
180 [4.61e-01, 3.08e-01]
181 [4.61e-01, 3.08e-01]
182 [4.61e-01, 3.08e-01]
183 [4.61e-01, 3.08e-01]
184 [4.61e-01, 3.08e-01]
185 [4.61e-01, 3.08e-01]
186 [4.61e-01, 3.08e-01]
187 [4.61e-01, 3.08e-01]
188 [4.61e-01, 3.08e-01]
189 [4.61e-01, 3.08e-01]
190 [4.61e-01, 3.08e-01]
191 [4.61e-01, 3.08e-01]
192 [4.61e-01, 3.08e-01]
193 [4.61e-01, 3.08e-01]
194 [4.61e-01, 3.08e-01]
195 [4.61e-01, 3.07e-01]
196 [4.60e-01, 3.07e-01]
197 [4.60e-01, 3.07e-01]
198 [4.60e-01, 3.07e-01]
199 [4.60e-01, 3.07e-01]
200 [4.60e-01, 3.07e-01]
201 [4.60e-01, 3.07e-01]
202 [4.60e-01, 3.07e-01]
203 [4.60e-01, 3.07e-01]
204 [4.60e-01, 3.07e-01]
205 [4.60e-01, 3.07e-01]
206 [4.60e-01, 3.07e-01]
207 [4.60e-01, 3.07e-01]
208 [4.60e-01, 3.07e-01]
209 [4.60e-01, 3.07e-01]
210 [4.60e-01, 3.06e-01]
211 [4.59e-01, 3.06e-01]
212 [4.59e-01, 3.06e-01]
213 [4.59e-01, 3.06e-01]
214 [4.59e-01, 3.06e-01]
215 [4.59e-01, 3.06e-01]
216 [4.59e-01, 3.06e-01]
217 [4.59e-01, 3.06e-01]
218 [4.59e-01, 3.06e-01]
219 [4.59e-01, 3.06e-01]
220 [4.59e-01, 3.06e-01]
221 [4.59e-01, 3.06e-01]
222 [4.59e-01, 3.06e-01]
223 [4.59e-01, 3.05e-01]
224 [4.58e-01, 3.05e-01]
225 [4.58e-01, 3.05e-01]
226 [4.58e-01, 3.05e-01]
227 [4.58e-01, 3.05e-01]
228 [4.58e-01, 3.05e-01]
229 [4.58e-01, 3.05e-01]
230 [4.58e-01, 3.05e-01]
231 [4.58e-01, 3.05e-01]
232 [4.58e-01, 3.05e-01]
233 [4.58e-01, 3.05e-01]
234 [4.58e-01, 3.05e-01]
235 [4.58e-01, 3.05e-01]
236 [4.58e-01, 3.04e-01]
237 [4.58e-01, 3.04e-01]
238 [4.57e-01, 3.04e-01]
239 [4.57e-01, 3.04e-01]
240 [4.57e-01, 3.04e-01]
241 [4.57e-01, 3.04e-01]
242 [4.57e-01, 3.04e-01]
243 [4.57e-01, 3.04e-01]
244 [4.57e-01, 3.04e-01]
245 [4.57e-01, 3.04e-01]
246 [4.57e-01, 3.04e-01]
247 [4.57e-01, 3.04e-01]
248 [4.57e-01, 3.03e-01]
249 [4.57e-01, 3.03e-01]
