0 [5.00e-01, 5.00e-01, 5.00e-01, 5.00e-01]
1 [4.99e-01, 4.99e-01, 4.99e-01, 4.99e-01]
2 [4.98e-01, 4.98e-01, 4.98e-01, 4.98e-01]
3 [4.98e-01, 4.97e-01, 4.97e-01, 4.98e-01]
4 [4.98e-01, 4.97e-01, 4.97e-01, 4.97e-01]
5 [4.97e-01, 4.96e-01, 4.96e-01, 4.97e-01]
6 [4.96e-01, 4.95e-01, 4.95e-01, 4.97e-01]
7 [4.95e-01, 4.94e-01, 4.95e-01, 4.96e-01]
8 [4.95e-01, 4.93e-01, 4.94e-01, 4.96e-01]
9 [4.94e-01, 4.93e-01, 4.93e-01, 4.96e-01]
10 [4.93e-01, 4.92e-01, 4.93e-01, 4.96e-01]
11 [4.92e-01, 4.91e-01, 4.92e-01, 4.96e-01]
12 [4.92e-01, 4.90e-01, 4.91e-01, 4.95e-01]
13 [4.91e-01, 4.90e-01, 4.91e-01, 4.95e-01]
14 [4.90e-01, 4.89e-01, 4.90e-01, 4.95e-01]
15 [4.90e-01, 4.88e-01, 4.90e-01, 4.95e-01]
16 [4.89e-01, 4.88e-01, 4.89e-01, 4.95e-01]
17 [4.88e-01, 4.87e-01, 4.89e-01, 4.95e-01]
18 [4.88e-01, 4.87e-01, 4.88e-01, 4.95e-01]
19 [4.87e-01, 4.86e-01, 4.88e-01, 4.95e-01]
20 [4.87e-01, 4.86e-01, 4.87e-01, 4.95e-01]
21 [4.86e-01, 4.86e-01, 4.87e-01, 4.95e-01]
22 [4.86e-01, 4.85e-01, 4.87e-01, 4.95e-01]
23 [4.86e-01, 4.85e-01, 4.86e-01, 4.95e-01]
24 [4.85e-01, 4.85e-01, 4.86e-01, 4.95e-01]
25 [4.85e-01, 4.84e-01, 4.86e-01, 4.95e-01]
26 [4.85e-01, 4.84e-01, 4.86e-01, 4.95e-01]
27 [4.85e-01, 4.84e-01, 4.85e-01, 4.95e-01]
28 [4.84e-01, 4.84e-01, 4.85e-01, 4.95e-01]
29 [4.84e-01, 4.83e-01, 4.85e-01, 4.95e-01]
30 [4.84e-01, 4.83e-01, 4.85e-01, 4.95e-01]
