5.590000000000000524e-01,7.560000000000000053e-02,-1.319999999999999993e-02,-2.529999999999999957e-02
5.699999999999999512e-01,8.000000000000000167e-02,1.110000000000000014e-01,-6.790000000000000202e-02
5.749999999999999556e-01,8.419999999999999707e-02,2.399999999999999911e-01,-1.789999999999999925e-02
5.799999999999999600e-01,8.390000000000000235e-02,2.260000000000000064e-01,2.500000000000000000e-01
5.809999999999999609e-01,8.069999999999999396e-02,1.789999999999999925e-01,4.290000000000000063e-02
5.809999999999999609e-01,7.829999999999999460e-02,1.640000000000000069e-01,1.079999999999999988e-01
5.809999999999999609e-01,7.639999999999999569e-02,1.429999999999999882e-01,7.820000000000000562e-02
5.789999999999999591e-01,7.459999999999999964e-02,1.260000000000000009e-01,5.639999999999999875e-02
5.759999999999999565e-01,7.359999999999999876e-02,1.250000000000000000e-01,1.360000000000000098e-01
5.719999999999999529e-01,7.270000000000000073e-02,1.150000000000000050e-01,1.529999999999999971e-01
5.639999999999999458e-01,7.399999999999999634e-02,1.260000000000000009e-01,3.049999999999999933e-01
5.520000000000000462e-01,6.990000000000000380e-02,9.869999999999999607e-02,1.189999999999999947e-01
5.430000000000000382e-01,7.080000000000000182e-02,1.000000000000000056e-01,1.250000000000000000e-01
5.310000000000000275e-01,7.030000000000000138e-02,9.890000000000000180e-02,1.650000000000000078e-01
5.180000000000000160e-01,6.919999999999999762e-02,9.110000000000000042e-02,1.330000000000000071e-01
5.070000000000000062e-01,6.900000000000000577e-02,8.980000000000000482e-02,1.580000000000000016e-01
4.969999999999999973e-01,6.679999999999999827e-02,8.140000000000000013e-02,1.199999999999999956e-01
4.899999999999999911e-01,6.800000000000000488e-02,8.840000000000000635e-02,1.880000000000000004e-01
4.839999999999999858e-01,6.640000000000000069e-02,8.509999999999999509e-02,1.799999999999999933e-01
4.819999999999999840e-01,6.519999999999999407e-02,7.979999999999999594e-02,1.650000000000000078e-01
