"dato","kommunenavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-16,Kerteminde,M,5830,3158,5718,3063,112,95
2021-06-16,Nyborg,K,8506,5363,8308,5312,198,51
2021-06-16,Nyborg,M,7434,3977,7193,3905,241,72
2021-06-16,Odense,K,47289,30589,46427,30379,862,210
2021-06-16,Odense,M,39884,22113,39016,21829,868,284
2021-06-16,Svendborg,K,16341,10572,16109,10420,232,152
2021-06-16,Svendborg,M,14200,7843,13962,7727,238,116
2021-06-16,Nordfyn,K,7626,4856,7603,4795,23,61
2021-06-16,Nordfyn,M,7039,3812,7028,3739,11,73
2021-06-16,Langeland,K,3789,2520,3776,2504,13,16
2021-06-16,Langeland,M,3381,2015,3366,1994,15,21
2021-06-16,Ærø,K,1922,1283,1923,1284,-1,-1
2021-06-16,Ærø,M,1664,973,1661,971,3,2
2021-06-16,Haderslev,K,13466,7609,13121,7558,345,51
2021-06-16,Haderslev,M,12082,5645,11706,5598,376,47
2021-06-16,Billund,K,6517,3737,6428,3687,89,50
2021-06-16,Billund,M,6012,2940,5940,2897,72,43
2021-06-16,Sønderborg,K,20447,10735,20142,10726,305,9
2021-06-16,Sønderborg,M,18453,7902,18121,7887,332,15
2021-06-16,Tønder,K,9466,5149,9377,5103,89,46
2021-06-16,Tønder,M,8548,3893,8470,3835,78,58
2021-06-16,Esbjerg,K,31697,17850,31176,17681,521,169
2021-06-16,Esbjerg,M,28460,13257,27907,13062,553,195
2021-06-16,Fanø,K,1162,736,1162,722,0,14
2021-06-16,Fanø,M,1039,603,1035,592,4,11
2021-06-16,Varde,K,13719,7794,13697,7730,22,64
2021-06-16,Varde,M,12791,6105,12781,6010,10,95
2021-06-16,Vejen,K,10190,6031,9960,5959,230,72
2021-06-16,Vejen,M,9265,4438,9009,4384,256,54
2021-06-16,Aabenraa,K,15081,7996,14942,7854,139,142
2021-06-16,Aabenraa,M,13756,6145,13624,6009,132,136
2021-06-16,Fredericia,K,12564,7769,12364,7667,200,102
2021-06-16,Fredericia,M,11137,5819,10904,5708,233,111
2021-06-16,Horsens,K,21826,13209,21486,12933,340,276
2021-06-16,Horsens,M,19018,9293,18621,9033,397,260
2021-06-16,Kolding,K,21316,12451,20810,12291,506,160
2021-06-16,Kolding,M,19072,9377,18542,9220,530,157
2021-06-16,Vejle,K,27566,16611,27093,16404,473,207
2021-06-16,Vejle,M,24716,12314,24147,12095,569,219
2021-06-16,Herning,K,22255,13842,21543,13747,712,95
2021-06-16,Herning,M,19875,10123,19181,10031,694,92
2021-06-16,Holstebro,K,14879,9984,14764,9627,115,357
2021-06-16,Holstebro,M,12934,7168,12776,6827,158,341
