"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,280188,162649,590237
Midtjylland,620575,350908,1335003
Syddanmark,587430,325255,1224627
Hovedstaden,902072,467880,1857354
Sjælland,447971,235523,841017
