bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Odsherred,7266,"Asnæs,Odsherred",2962,256,9%,6%,34%,51%
Odsherred,7267,"Fårevejle,Odsherred",2559,281,11%,6%,39%,44%
Odsherred,9246,"Lumsås,Odsherred",737,97,13%,6%,27%,54%
Randers,,,70,42,60%,9%,21%,10%
Randers,8133,"Støvring,Randers",185,11,6%,11%,39%,43%
Randers,8134,"Mellerup,Randers",390,45,12%,16%,34%,39%
Randers,8135,"Haslund,Randers",898,59,7%,15%,37%,42%
Randers,8136,"Ølst,Randers",238,34,14%,9%,38%,39%
Randers,8137,"Værum,Randers",250,22,9%,18%,34%,40%
Randers,8138,"Ørum,Randers",294,33,11%,16%,37%,35%
Randers,8145,"Årslev,Randers",117,<10,,,,
Randers,8146,"Vorup,Randers",4274,311,7%,15%,35%,43%
Randers,8151,"Asferg,Randers",623,59,9%,15%,32%,43%
Randers,8152,"Fårup,Randers",690,58,8%,17%,35%,39%
Randers,8153,"Kousted,Randers",118,16,14%,15%,41%,31%
Randers,8154,"Råsted,Randers",345,22,6%,14%,43%,37%
Randers,8155,"Spentrup,Randers",1681,117,7%,16%,32%,45%
Randers,8156,"Gassum,Randers",553,87,16%,17%,33%,34%
Randers,8157,"Hald,Randers",375,46,12%,18%,41%,29%
Randers,8158,"Kærby,Randers",91,<10,,,,
Randers,8181,"Skt Mortens,Randers",4757,624,13%,13%,28%,46%
Randers,8182,"Skt Peders,Randers",4478,608,14%,16%,29%,41%
Randers,8183,"Skt Clemens,Randers",5378,551,10%,15%,31%,43%
Randers,8184,"Dronningborg,Randers",2803,198,7%,14%,33%,46%
Randers,8187,"Tvede,Randers",158,22,14%,20%,31%,35%
Randers,8188,"Linde,Randers",528,49,9%,16%,33%,42%
Randers,8189,"Udbyneder,Randers",838,111,13%,18%,32%,37%
Randers,8190,"Kastbjerg,Randers",122,16,13%,12%,42%,33%
Randers,8191,"Dalbyneder,Randers",62,<10,,,,
Randers,8192,"Dalbyover,Randers",173,30,17%,17%,32%,34%
Randers,8193,"Råby,Randers",300,54,18%,17%,30%,35%
Randers,8194,"Sødring,Randers",269,37,14%,13%,37%,36%
Randers,8195,"Ø Tørslev,Randers",741,85,11%,16%,32%,41%
Randers,8196,"Gjerlev,Randers",596,77,13%,15%,33%,40%
Randers,8197,"Enslev,Randers",198,26,13%,20%,38%,29%
Randers,8208,"Borup,Randers",248,21,8%,19%,37%,36%
Randers,8209,"Gimming,Randers",611,46,8%,20%,37%,35%
Randers,8210,"Lem,Randers",205,23,11%,18%,34%,37%
Randers,8211,"Harridslev,Randers",940,60,6%,16%,29%,49%
Randers,8212,"Albæk,Randers",275,24,9%,16%,35%,41%
Randers,8213,"Kristrup,Randers",5874,404,7%,16%,35%,43%
Randers,8214,"Virring,Randers",639,72,11%,17%,39%,33%
Randers,8215,"Essenbæk,Randers",2391,143,6%,19%,32%,43%
Randers,8216,"Hørning,Randers",288,20,7%,20%,38%,34%
Randers,8510,"Nørbæk,Randers",123,11,9%,15%,47%,28%
Randers,8511,"Sønderbæk,Randers",179,27,15%,23%,28%,34%
Randers,8512,"Læsten,Randers",125,16,13%,22%,37%,28%
Randers,8513,"Ø Bjerregrav,Randers",869,61,7%,17%,36%,40%
Randers,8514,"Ålum,Randers",404,54,13%,16%,35%,36%
Randers,8515,"Tånum,Randers",261,22,8%,19%,34%,38%
Randers,8516,"Hornbæk,Randers",2464,133,5%,17%,37%,41%
Randers,8628,"Ø Velling,Randers",171,10,6%,16%,40%,38%
Randers,8629,"Helstrup,Randers",169,21,12%,17%,35%,36%
Randers,8630,"Grensten,Randers",1380,71,5%,19%,34%,42%
Randers,8631,"Langå,Randers",1937,151,8%,16%,35%,42%
Randers,8632,"Torup,Randers",117,19,16%,21%,36%,27%
Randers,9078,"Skt Andreas,Randers",3221,512,16%,14%,28%,42%
Randers,9151,"Enghøj,Randers",4464,382,9%,15%,34%,42%
Rebild,8279,"Brorstrup,Rebild",234,17,7%,18%,41%,35%
Rebild,8280,"Ravnkilde,Rebild",573,55,10%,15%,41%,34%
Rebild,8289,"Kgs Tisted,Rebild",116,14,12%,15%,39%,34%
Rebild,8290,"Binderup,Rebild",138,19,14%,13%,47%,26%
Rebild,8291,"Durup,Rebild",833,89,11%,11%,30%,48%
Rebild,8292,"Rørbæk,Rebild",346,25,7%,14%,35%,44%
Rebild,8293,"Grynderup,Rebild",137,14,10%,21%,38%,31%
Rebild,8294,"Skibsted,Rebild",207,29,14%,19%,35%,32%
Rebild,8295,"Lyngby,Rebild",92,11,12%,15%,37%,36%
Rebild,8296,"St Brøndum,Rebild",232,22,9%,19%,40%,32%
Rebild,8297,"Siem,Rebild",79,10,13%,20%,33%,34%
Rebild,8298,"Torup,Rebild",163,12,7%,19%,37%,37%
Rebild,8299,"Gerding,Rebild",66,<10,,,,
Rebild,8300,"Blenstrup,Rebild",574,59,10%,18%,38%,34%
Rebild,8301,"Skørping,Rebild",2573,171,7%,18%,32%,44%
Rebild,8302,"Fræer,Rebild",205,17,8%,15%,35%,42%
Rebild,8334,"Ø Hornum,Rebild",1181,87,7%,16%,36%,41%
Rebild,8335,"Støvring,Rebild",5080,277,5%,19%,32%,43%
Rebild,8336,"Gravlev,Rebild",255,25,10%,15%,38%,37%
Rebild,8337,"Årestrup,Rebild",330,43,13%,16%,37%,35%
Rebild,8338,"Haverslev,Rebild",526,32,6%,17%,38%,39%
Rebild,8339,"Sønderup,Rebild",384,37,10%,12%,43%,35%
Rebild,8340,"Suldrup,Rebild",943,74,8%,13%,35%,44%
Rebild,8341,"Veggerby,Rebild",437,38,9%,15%,44%,32%
Rebild,8346,"Bælum,Rebild",703,58,8%,17%,34%,41%
Rebild,8347,"Solbjerg,Rebild",342,44,13%,15%,34%,39%
Rebild,9065,"Stenild,Rebild",206,19,9%,12%,43%,36%
Rebild,9217,"Terndrup,Rebild",1169,103,9%,16%,28%,48%
Rebild,9238,"Sørup,Rebild",300,24,8%,14%,44%,34%
Ringkøbing-Skjern,,,43,26,60%,2%,9%,28%
Ringkøbing-Skjern,8749,"Ringkøbing,Rin-Skjer",3451,305,9%,10%,29%,53%
Ringkøbing-Skjern,8750,"Rindum,Ringk-Skjern",2966,230,8%,15%,33%,44%
Ringkøbing-Skjern,8751,"Velling,Ringk-Skjern",861,66,8%,13%,34%,46%
Ringkøbing-Skjern,8752,"Hee,Ringkøbin-Skjern",546,84,15%,12%,40%,32%
Ringkøbing-Skjern,8753,"No,Ringkøbing-Skjern",355,51,14%,14%,35%,37%
Ringkøbing-Skjern,8754,"N Omme,Ringk-Skjern",395,45,11%,16%,33%,39%
Ringkøbing-Skjern,8755,"Brejning,Ring-Skjern",1269,101,8%,13%,34%,45%
Ringkøbing-Skjern,8756,"Torsted,Ringk-Skjern",239,31,13%,15%,40%,33%
Ringkøbing-Skjern,8757,"Hover,Ringkøb-Skjern",240,22,9%,13%,38%,40%
Ringkøbing-Skjern,8758,"Stadil,Ringk-Skjern",265,30,11%,14%,34%,41%
Ringkøbing-Skjern,8759,"Tim,Ringkøbin-Skjern",759,61,8%,13%,31%,48%
Ringkøbing-Skjern,8761,"Vedersø,Ringk-Skjern",226,29,13%,8%,27%,52%
Ringkøbing-Skjern,8763,"Nysogn,Ringkø-Skjern",766,69,9%,12%,31%,48%
Ringkøbing-Skjern,8764,"Gammelsogn,Ring-Skje",112,<10,,,,
Ringkøbing-Skjern,8765,"Skjern,Ringkø-Skjern",5176,384,7%,11%,34%,48%
Ringkøbing-Skjern,8766,"Vorgod,Ringk-Skjern",979,93,9%,14%,36%,41%
Ringkøbing-Skjern,8767,"Nørre Vium,Ring-Skje",361,38,11%,17%,40%,32%
Ringkøbing-Skjern,8768,"Herborg,Ringk-Skjern",714,65,9%,10%,32%,48%
Ringkøbing-Skjern,8769,"Videbæk,Ringk-Skjern",2537,166,7%,12%,29%,52%
Ringkøbing-Skjern,8770,"S Lem,Ringkøb-Skjern",480,33,7%,15%,46%,31%
Ringkøbing-Skjern,8771,"Ølstrup,Ringk-Skjern",238,23,10%,13%,39%,38%
Ringkøbing-Skjern,8772,"Dejbjerg,Ring-Skjern",291,22,8%,8%,48%,36%
Ringkøbing-Skjern,8773,"Hanning,Ringk-Skjern",282,38,13%,17%,37%,33%
Ringkøbing-Skjern,8774,"Stauning,Ringk-Skjer",507,57,11%,13%,36%,40%
Ringkøbing-Skjern,8775,"Bølling,Ringk-Skjern",203,29,14%,14%,33%,38%
Ringkøbing-Skjern,8776,"Sædding,Ringk-Skjern",330,45,14%,13%,37%,37%
Ringkøbing-Skjern,8777,"Borris,Ringkø-Skjern",766,105,14%,12%,34%,40%
Ringkøbing-Skjern,8778,"Faster,Ringkøbing-Sk",532,77,14%,14%,42%,30%
Ringkøbing-Skjern,8779,"S Bork,Ringk-Skjern",258,28,11%,11%,41%,38%
Ringkøbing-Skjern,8780,"N Bork,Ringkø-Skjern",327,27,8%,7%,41%,44%
Ringkøbing-Skjern,8781,"Hemmet,Ringkø-Skjern",379,55,15%,6%,38%,41%
Ringkøbing-Skjern,8782,"S Vium,Ringk-Skjern",269,31,12%,8%,52%,29%
Ringkøbing-Skjern,8783,"Lønborg,Ringk-Skjern",494,65,13%,6%,41%,40%
Ringkøbing-Skjern,8784,"Egvad,Ringkøb-Skjern",165,25,15%,12%,50%,24%
Ringkøbing-Skjern,8785,"Ådum,Ringkøb-Skjern",403,57,14%,9%,44%,33%
Ringkøbing-Skjern,8786,"Hoven,Ringkøb-Skjern",325,39,12%,10%,40%,38%
Ringkøbing-Skjern,8788,"Lyne,Ringkøbi-Skjern",308,32,10%,6%,42%,42%
Ringkøbing-Skjern,9122,"Tarm,Ringkøb-Skjern",2737,230,8%,8%,32%,52%
Ringkøbing-Skjern,9124,"Troldhede,Ringk-Skje",424,60,14%,12%,34%,40%
Ringkøbing-Skjern,9172,"Hvide Sande Sogn,R-S",785,79,10%,11%,28%,51%
Ringkøbing-Skjern,9275,"Væggersk,Ring-Skjern",173,<10,,,,
Ringkøbing-Skjern,9276,"Finderup,Ring-Skjern",182,31,17%,10%,41%,32%
Ringkøbing-Skjern,9277,"Fjelsterv,Rin-Skjern",376,43,11%,19%,34%,35%
Ringkøbing-Skjern,9278,"Haurvig,Ring-Skjern",189,16,8%,5%,30%,56%
Ringkøbing-Skjern,9279,"Lyngvig,Ring-Skjern",1262,119,9%,11%,36%,44%
Ringkøbing-Skjern,9280,"Lem,Ring-Skjern",910,78,9%,12%,34%,45%
Ringsted,,,31,15,48%,3%,29%,19%
Ringsted,7340,"Gyrstinge,Ringsted",501,62,12%,13%,43%,32%
Ringsted,7343,"Bringstrup,Ringsted",263,43,16%,11%,41%,31%
Ringsted,7344,"Sigersted,Ringsted",271,50,18%,14%,44%,24%
Ringsted,7363,"Ringsted,Ringsted",10666,1310,12%,13%,36%,39%
Ringsted,7364,"Benløse,Ringsted",3353,402,12%,14%,37%,36%
Ringsted,7367,"Jystrup,Ringsted",722,49,7%,11%,45%,37%
Ringsted,7368,"Valsølille,Ringsted",266,43,16%,7%,36%,41%
Ringsted,7369,"Vigersted,Ringsted",863,88,10%,13%,39%,38%
Ringsted,7370,"Kværkeby,Ringsted",803,96,12%,14%,41%,34%
Ringsted,7371,"Nordrupøster,Ringstd",377,51,14%,13%,43%,30%
Ringsted,7372,"Farendløse,Ringsted",350,44,13%,15%,43%,29%
Ringsted,7373,"Vetterslev,Ringsted",456,49,11%,14%,43%,33%
Ringsted,7374,"Høm,Ringsted",417,39,9%,14%,41%,36%
Ringsted,7376,"Sneslev,Ringsted",398,36,9%,14%,42%,36%
Ringsted,7378,"Ørslev,Ringsted",522,71,14%,12%,41%,34%
Ringsted,9322,Haralds-Allinde Sogn,868,125,14%,7%,45%,34%
Roskilde,,,42,28,67%,0%,24%,10%
Roskilde,7156,"Domkirkens,Roskilde",12138,1127,9%,10%,35%,46%
Roskilde,7157,"Søndre,Roskilde",5022,605,12%,12%,37%,39%
Roskilde,7158,"Vor Frue,Roskilde",742,73,10%,10%,42%,38%
Roskilde,7159,"Skt Jørgensbj,Roskld",6645,737,11%,9%,37%,42%
Roskilde,7160,"Himmelev,Roskilde",8046,610,8%,13%,37%,42%
Roskilde,7161,"Hvedstrup,Roskilde",408,49,12%,10%,45%,33%
Roskilde,7166,"Svogerslev,Roskilde",2938,173,6%,9%,37%,48%
Roskilde,7167,"Ågerup,Roskilde",1440,118,8%,9%,41%,43%
Roskilde,7168,"Kirkerup,Roskilde",483,69,14%,12%,40%,34%
Roskilde,7169,"Jyllinge,Roskilde",6837,498,7%,13%,42%,38%
Roskilde,7170,"Gundsømagle,Roskild",1889,164,9%,11%,41%,39%
Roskilde,7197,"Vindinge,Roskilde",1788,122,7%,13%,43%,38%
Roskilde,7198,"Snoldelev,Roskilde",855,121,14%,10%,43%,33%
Roskilde,7210,"Gadstrup,Roskilde",1265,86,7%,11%,41%,42%
Roskilde,7211,"Syv,Roskilde",2605,203,8%,10%,38%,44%
Roskilde,7212,"Ørsted,Roskilde",245,35,14%,10%,44%,31%
Roskilde,7213,"Dåstrup,Roskilde",1035,106,10%,12%,41%,37%
Rudersdal,,,70,38,54%,10%,19%,17%
Rudersdal,7125,"Søllerød,Rudersdal",5430,381,7%,13%,40%,40%
Rudersdal,7126,"Vedbæk,Rudersdal",5432,418,8%,9%,36%,47%
Rudersdal,7127,"Ny Holte,Rudersdal",4491,266,6%,11%,38%,45%
Rudersdal,7128,"Gl Holte,Rudersdal",3774,368,10%,10%,36%,44%
Rudersdal,7129,"Nærum,Rudersdal",4097,434,11%,9%,32%,49%
Rudersdal,7448,"Bistrup,Rudersdal",6032,532,9%,14%,37%,41%
Rudersdal,9310,"Høsterkøb,Rudersdal",2202,160,7%,13%,45%,35%
Rudersdal,9311,"Birkerød,Ruderdals",7699,621,8%,13%,38%,42%
Rødovre,,,53,30,57%,6%,23%,15%
Rødovre,7137,"Rødovre,Rødovre",8880,1347,15%,10%,36%,39%
Rødovre,7138,"Grøndalslund,Rødovre",5204,556,11%,9%,36%,44%
Rødovre,7139,"Islev,Rødovre",7401,1047,14%,11%,35%,40%
Rødovre,7140,"Hendriksholm,Rødovre",4121,608,15%,9%,35%,41%
Samsø,9183,"Samsø,Samsø",2766,289,10%,6%,30%,53%
Silkeborg,,,51,27,53%,6%,10%,31%
Silkeborg,7992,"Vinding,Silkeborg",189,28,15%,13%,33%,40%
Silkeborg,7993,"Bryrup,Silkeborg",1163,125,11%,13%,35%,42%
Silkeborg,7998,"Them,Silkeborg",3009,257,9%,14%,36%,42%
Silkeborg,8007,"Vrads,Silkeborg",360,68,19%,7%,33%,42%
Silkeborg,8017,"Silkeborg,Silkeborg",4052,405,10%,11%,28%,51%
Silkeborg,8018,"Mariehøj,Silkeborg",4688,436,9%,13%,33%,45%
Silkeborg,8019,"Alderslyst,Silkebg",7134,856,12%,11%,32%,45%
Silkeborg,8020,"Linå,Silkeborg",2237,204,9%,12%,34%,45%
Silkeborg,8021,"Voel,Silkeborg",1134,90,8%,19%,37%,36%
Silkeborg,8025,"Skorup,Silkeborg",133,28,21%,21%,35%,23%
Silkeborg,8026,"Tvilum,Silkeborg",1187,171,14%,15%,37%,34%
Silkeborg,8027,"Gjern,Silkeborg",774,70,9%,16%,38%,37%
Silkeborg,8028,"Skannerup,Silkeborg",550,49,9%,14%,28%,49%
Silkeborg,8031,"Dallerup,Silkeborg",995,106,11%,18%,39%,32%
Silkeborg,8496,"Balle,Silkeborg",7040,422,6%,15%,39%,40%
Silkeborg,8590,"Vium,Silkeborg",392,34,9%,18%,41%,32%
Silkeborg,8592,"Sjørslev,Silkeborg",680,96,14%,17%,34%,35%
Silkeborg,8596,"Grønbæk,Silkeborg",1814,146,8%,15%,34%,43%
Silkeborg,8597,"Levring,Silkeborg",317,28,9%,15%,41%,35%
Silkeborg,8598,"Hørup,Silkeborg",3266,241,7%,12%,30%,51%
Silkeborg,8599,"Hinge,Silkeborg",372,48,13%,14%,43%,30%
Silkeborg,8600,"Vinderslev,Silkeborg",730,100,14%,15%,35%,36%
Silkeborg,8601,"Thorning,Silkeborg",1309,134,10%,13%,34%,42%
Silkeborg,8604,"Serup,Silkeborg",402,38,9%,14%,40%,37%
Silkeborg,8605,"Lemming,Silkeborg",409,51,12%,13%,34%,41%
Silkeborg,8606,"Gødvad,Silkeborg",4157,387,9%,17%,35%,38%
Silkeborg,8607,"Svostrup,Silkeborg",803,89,11%,17%,37%,35%
Silkeborg,8608,"Sejling,Silkeborg",535,49,9%,13%,35%,43%
Silkeborg,8609,"Sinding,Silkeborg",274,31,11%,15%,44%,30%
Silkeborg,8610,"Kragelund,Silkeborg",792,55,7%,10%,38%,45%
Silkeborg,8611,"Funder,Silkeborg",1775,177,10%,15%,37%,39%
Silkeborg,9132,"Virklund,Silkeborg",2306,168,7%,14%,37%,42%
Silkeborg,9143,"Sejs-Svejbæk,Silkebg",2782,194,7%,14%,34%,45%
Silkeborg,9213,"Grathe,Silkeborg",219,39,18%,14%,34%,34%
Skanderborg,7988,"Gl Rye,Skanderborg",1282,130,10%,14%,42%,33%
Skanderborg,7990,"Voerladegård,Skander",556,46,8%,14%,42%,35%
Skanderborg,8010,"Stilling,Skanderborg",2495,146,6%,13%,43%,39%
Skanderborg,8011,"Blegind,Skanderborg",400,34,9%,19%,45%,28%
Skanderborg,8012,"Hørning,Skanderborg",4372,294,7%,15%,37%,42%
Skanderborg,8013,"Adslev,Skanderborg",280,26,9%,12%,47%,31%
Skanderborg,8014,"Dover,Skanderborg",834,92,11%,13%,43%,33%
Skanderborg,8015,"Veng,Skanderborg",711,68,10%,14%,43%,33%
Skanderborg,8016,"Mesing,Skanderborg",198,22,11%,11%,44%,34%
Skanderborg,8032,"Låsby,Skanderborg",1459,123,8%,16%,39%,37%
Skanderborg,8033,"Alling,Skanderborg",182,22,12%,9%,37%,42%
Skanderborg,8034,"Tulstrup,Skanderborg",470,22,5%,14%,41%,39%
Skanderborg,8035,"Fruering,Skanderborg",1197,71,6%,16%,42%,36%
Skanderborg,8036,"Vitved,Aarhus",175,14,8%,11%,35%,46%
Skanderborg,8039,"Ovsted,Skanderborg",795,72,9%,14%,40%,37%
Skanderborg,8040,"Tåning,Skanderborg",208,24,12%,12%,38%,38%
Skanderborg,8041,"Hylke,Skanderborg",491,36,7%,13%,41%,39%
Skanderborg,8075,"Sjelle,Skanderborg",313,38,12%,15%,44%,29%
Skanderborg,8076,"Skjørring,Skanderbor",249,25,10%,17%,46%,27%
Skanderborg,8077,"Skivholme,Skanderbor",728,112,15%,16%,36%,34%
Skanderborg,8078,"Skovby,Skanderborg",2083,143,7%,15%,41%,37%
Skanderborg,8083,"Storring,Skanderborg",363,36,10%,12%,40%,38%
Skanderborg,8084,"Stjær,Skanderborg",673,46,7%,17%,38%,38%
Skanderborg,8085,"Galten,Skanderborg",3089,153,5%,13%,37%,45%
Skanderborg,9104,"Ry,Skanderborg",4001,254,6%,13%,37%,43%
Skanderborg,9166,"Skanderborg,Skanderb",10095,714,7%,14%,35%,44%
Skive,8499,"Kobberup,Skive",765,60,8%,17%,35%,40%
Skive,8538,"Durup,Skive",559,55,10%,11%,29%,50%
Skive,8539,"Tøndering,Skive",194,<10,,,,
Skive,8540,"Roslev,Skive",884,51,6%,11%,32%,51%
Skive,8541,"Rybjerg,Skive",135,11,8%,20%,31%,41%
Skive,8542,"Hjerk,Skive",226,14,6%,10%,43%,41%
Skive,8543,"Harre,Skive",186,20,11%,17%,33%,39%
Skive,8544,"Nautrup,Skive",161,18,11%,19%,46%,24%
Skive,8545,"Vile,Skive",112,10,9%,14%,30%,46%
Skive,8546,"Glyngøre,Skive",1113,55,5%,9%,35%,51%
Skive,8547,"Sæby,Skive",86,10,12%,7%,45%,36%
Skive,8548,"Fuur,Skive",593,43,7%,7%,33%,53%
Skive,8549,"Rødding,Skive",922,96,10%,11%,34%,45%
Skive,8550,"Lihme,Skive",512,40,8%,10%,30%,52%
Skive,8551,"Balling,Skive",844,68,8%,11%,29%,52%
Skive,8552,"Volling,Skive",59,<10,,,,
Skive,8553,"Krejbjerg,Skive",204,18,9%,10%,44%,37%
Skive,8554,"Håsum,Skive",125,12,10%,12%,35%,43%
Skive,8555,"Ramsing,Skive",351,28,8%,9%,37%,46%
Skive,8556,"Lem,Skive",487,40,8%,13%,34%,45%
Skive,8557,"Vejby,Skive",84,10,12%,12%,45%,31%
Skive,8558,"Højslev,Skive",957,87,9%,15%,30%,46%
Skive,8559,"Dommerby,Skive",802,40,5%,13%,32%,50%
Skive,8560,"Lundø,Skive",126,<10,,,,
Skive,8561,"Ørslevkloster,Skive",732,68,9%,11%,32%,48%
Skive,8562,"Ørum,Skive",149,16,11%,9%,34%,46%
Skive,8572,"Skive,Skive",6367,513,8%,14%,31%,47%
Skive,8573,"Resen,Skive",2303,115,5%,11%,30%,53%
Skive,8574,"Hem,Skive",410,26,6%,16%,34%,43%
Skive,8575,"Hindborg,Skive",61,<10,,,,
Skive,8576,"Dølby,Skive",128,25,20%,13%,30%,38%
Skive,8577,"Oddense,Skive",494,31,6%,14%,38%,41%
Skive,8578,"Otting,Skive",39,<10,,,,
Skive,8579,"Brøndum,Skive",119,16,13%,10%,45%,31%
Skive,8580,"Hvidbjerg,Skive",291,28,10%,12%,39%,40%
Skive,8581,"Selde,Skive",324,38,12%,12%,28%,48%
Skive,8582,"Åsted,Skive",222,26,12%,16%,36%,36%
Skive,8583,"Junget,Skive",174,26,15%,10%,37%,38%
Skive,8584,"Thorum,Skive",187,35,19%,13%,33%,35%
Skive,8585,"Grinderslev,Skive",797,66,8%,12%,34%,45%
Skive,8586,"Grønning,Skive",156,15,10%,9%,35%,46%
Skive,8587,"Thise,Skive",241,22,9%,11%,35%,45%
Skive,8588,"Jebjerg,Skive",817,54,7%,13%,33%,47%
Skive,8589,"Lyby,Skive",225,22,10%,12%,40%,38%
Skive,9085,"Egeris,Skive",4304,346,8%,13%,32%,47%
Skive,9199,Estvad-Rønbjerg Sogn,519,59,11%,13%,36%,40%
Slagelse,,,58,35,60%,7%,16%,17%
Slagelse,7233,"Havrebjerg,Slagelse",394,38,10%,6%,40%,44%
Slagelse,7308,"Skælskør,Slagelse",2831,318,11%,6%,32%,51%
Slagelse,7309,"Eggeslevmagle,Slagel",2141,245,11%,6%,36%,47%
Slagelse,7310,"Høve,Slagelse",189,32,17%,8%,38%,37%
Slagelse,7311,"Flakkebjerg,Slagelse",445,56,13%,5%,43%,39%
Slagelse,7312,"Skørpinge,Slagelse",139,23,17%,4%,40%,40%
Slagelse,7313,"Fårdrup,Slagelse",183,33,18%,5%,42%,35%
Slagelse,7314,"Sørbymagle,Slagelse",980,76,8%,4%,45%,43%
Slagelse,7315,"Kirkerup,Slagelse",225,28,12%,3%,36%,49%
Slagelse,7316,"Gimlinge,Slagelse",871,97,11%,5%,43%,40%
Slagelse,7319,"Hyllested,Slagelse",229,33,14%,7%,45%,33%
Slagelse,7320,"Venslev,Slagelse",121,11,9%,5%,43%,43%
Slagelse,7321,"Holsteinborg,Slagels",695,58,8%,5%,30%,56%
Slagelse,7322,"Ørslev,Slagelse",167,15,9%,5%,49%,37%
Slagelse,7323,"S Bjerge,Slagelse",220,28,13%,8%,48%,31%
Slagelse,7324,"Tjæreby,Slagelse",438,67,15%,6%,43%,36%
Slagelse,7325,"Magleby,Slagelse",340,48,14%,8%,43%,35%
Slagelse,7326,"Agersø,Slagelse",161,<10,,,,
Slagelse,7327,"Omø,Slagelse",149,<10,,,,
Slagelse,7345,"Skt Mikkels,Slagelse",5606,833,15%,6%,34%,45%
Slagelse,7346,"Hejninge,Slagelse",98,10,10%,5%,42%,43%
Slagelse,7347,"Skt Peders,Slagelse",6059,543,9%,5%,40%,45%
Slagelse,7348,"Skt Povls,Slagelse",5097,543,11%,4%,35%,51%
Slagelse,7349,"Tårnborg,Slagelse",1975,214,11%,3%,39%,46%
Slagelse,7350,"Sønderup,Slagelse",263,32,12%,5%,50%,33%
Slagelse,7351,"Nordrupvester,Slagel",216,22,10%,6%,49%,35%
Slagelse,7352,"Gudum,Slagelse",71,10,14%,4%,45%,37%
Slagelse,7353,"Sorterup,Slagelse",221,24,11%,2%,47%,40%
Slagelse,7354,"Ottestrup,Slagelse",737,59,8%,4%,43%,45%
Slagelse,7355,"Slots Bjergby,Slagel",601,59,10%,4%,41%,44%
Slagelse,7356,"Sludstrup,Slagelse",198,27,14%,4%,42%,40%
Slagelse,7357,"Lundforlund,Slagelse",94,17,18%,4%,41%,36%
Slagelse,7358,"Gerlev,Slagelse",158,14,9%,3%,40%,48%
Slagelse,7359,"Kr Stillinge,Slagels",1912,143,7%,3%,33%,57%
Slagelse,7360,"Vemmelev,Slagelse",1724,156,9%,6%,43%,43%
Slagelse,7361,"Hemmeshøj,Slagelse",256,51,20%,6%,44%,30%
Slagelse,7362,"Boeslunde,Slagelse",961,101,11%,5%,42%,42%
Slagelse,7385,"Kindertofte,Slagelse",108,10,9%,7%,43%,41%
Slagelse,9070,"Halskov,Slagelse",4543,742,16%,5%,37%,42%
Slagelse,9144,"Nørrevangs,Slagelse",4625,652,14%,5%,37%,44%
Slagelse,9160,"Antvorskov,Slagelse",3406,450,13%,6%,38%,43%
Solrød,7201,"Karlstrup,Solrød",1656,138,8%,12%,40%,40%
Solrød,7202,"Havdrup,Solrød",2678,247,9%,13%,38%,40%
Solrød,7203,"Solrød,Solrød",5648,401,7%,14%,39%,41%
Solrød,7204,"Jersie,Solrød",3910,334,9%,13%,36%,42%
Solrød,7205,"Kr Skensved,Solrød",191,25,13%,17%,43%,27%
Sorø,7227,"Ruds Vedby,Sorø",1269,178,14%,5%,40%,41%
Sorø,7228,"Tersløse,Sorø",3014,304,10%,6%,34%,50%
Sorø,7229,"Skellebjerg,Sorø",276,27,10%,7%,43%,40%
Sorø,7230,"Niløse,Sorø",419,68,16%,6%,42%,36%
Sorø,7245,"Stenlille,Sorø",1583,169,11%,6%,41%,43%
Sorø,7338,"Munke Bjergby,Sorø",786,81,10%,8%,43%,39%
Sorø,7339,"Bromme,Sorø",235,30,13%,6%,34%,46%
Sorø,7341,"Kr Flinterup,Sorø",195,32,16%,9%,49%,26%
Sorø,7342,"Stenmagle,Sorø",922,110,12%,6%,47%,35%
Sorø,7383,"Sorø,Sorø",3628,345,10%,7%,36%,48%
Sorø,7384,"Pedersborg,Sorø",1961,164,8%,8%,39%,45%
Sorø,7386,"Lynge,Sorø",2957,196,7%,8%,42%,43%
Sorø,7387,"Vester Broby,Sorø",273,25,9%,7%,38%,45%
Sorø,7388,"Alsted,Sorø",333,39,12%,9%,41%,38%
Sorø,7389,"Fjenneslev,Sorø",645,68,11%,11%,42%,37%
Sorø,7390,"Slaglille,Sorø",344,31,9%,6%,43%,43%
Sorø,7391,"Bjernede,Sorø",378,37,10%,6%,47%,37%
Stevns,,,34,22,65%,6%,9%,21%
Stevns,7493,"Ll Heddinge,Stevns",807,76,9%,9%,31%,51%
Stevns,7494,"Havnelev,Stevns",1037,83,8%,9%,28%,54%
Stevns,7495,"Magleby,Stevns",862,117,14%,12%,41%,34%
Stevns,7496,"Holtug,Stevns",421,63,15%,14%,37%,33%
Stevns,7497,"Strøby,Stevns",4015,351,9%,12%,35%,45%
Stevns,7498,"Varpelev,Stevns",144,28,19%,15%,35%,30%
Stevns,7526,"Hellested,Stevns",749,93,12%,15%,37%,36%
Stevns,7542,"Valløby,Stevns",651,65,10%,13%,37%,40%
Stevns,7543,"Tårnby,Stevns",187,24,13%,12%,42%,33%
Stevns,7544,"Hårlev,Stevns",2062,184,9%,13%,31%,47%
