"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-04-26,1085,Sjælland,3175,1085
2021-04-27,1081,Nordjylland,3696,1081
2021-04-27,1082,Midtjylland,9214,1082
2021-04-27,1083,Syddanmark,7073,1083
2021-04-27,1084,Hovedstaden,4349,1084
2021-04-27,1085,Sjælland,2266,1085
2021-04-28,1081,Nordjylland,1380,1081
2021-04-28,1082,Midtjylland,8210,1082
2021-04-28,1083,Syddanmark,5277,1083
2021-04-28,1084,Hovedstaden,4741,1084
2021-04-28,1085,Sjælland,4537,1085
2021-04-29,1081,Nordjylland,393,1081
2021-04-29,1082,Midtjylland,7964,1082
2021-04-29,1083,Syddanmark,4550,1083
2021-04-29,1084,Hovedstaden,10553,1084
2021-04-29,1085,Sjælland,2475,1085
2021-04-30,1081,Nordjylland,2218,1081
2021-04-30,1082,Midtjylland,2679,1082
2021-04-30,1083,Syddanmark,3543,1083
2021-04-30,1084,Hovedstaden,406,1084
2021-04-30,1085,Sjælland,4584,1085
2021-05-01,1081,Nordjylland,2080,1081
2021-05-01,1082,Midtjylland,274,1082
2021-05-01,1083,Syddanmark,3018,1083
2021-05-01,1084,Hovedstaden,97,1084
2021-05-01,1085,Sjælland,1828,1085
2021-05-02,1081,Nordjylland,2309,1081
2021-05-02,1082,Midtjylland,166,1082
2021-05-02,1083,Syddanmark,3646,1083
2021-05-02,1084,Hovedstaden,8379,1084
2021-05-02,1085,Sjælland,2166,1085
2021-05-03,1081,Nordjylland,318,1081
2021-05-03,1082,Midtjylland,4674,1082
2021-05-03,1083,Syddanmark,4927,1083
2021-05-03,1084,Hovedstaden,10090,1084
2021-05-03,1085,Sjælland,442,1085
2021-05-04,1081,Nordjylland,4792,1081
2021-05-04,1082,Midtjylland,5590,1082
2021-05-04,1083,Syddanmark,6298,1083
2021-05-04,1084,Hovedstaden,7522,1084
2021-05-04,1085,Sjælland,3439,1085
2021-05-05,1081,Nordjylland,2951,1081
2021-05-05,1082,Midtjylland,5113,1082
2021-05-05,1083,Syddanmark,6461,1083
2021-05-05,1084,Hovedstaden,8576,1084
2021-05-05,1085,Sjælland,3718,1085
2021-05-06,1081,Nordjylland,4888,1081
2021-05-06,1082,Midtjylland,7448,1082
2021-05-06,1083,Syddanmark,5451,1083
2021-05-06,1084,Hovedstaden,1022,1084
2021-05-06,1085,Sjælland,2718,1085
2021-05-07,1081,Nordjylland,1920,1081
2021-05-07,1082,Midtjylland,5076,1082
2021-05-07,1083,Syddanmark,5532,1083
2021-05-07,1084,Hovedstaden,1167,1084
2021-05-07,1085,Sjælland,2791,1085
2021-05-08,1081,Nordjylland,2337,1081
2021-05-08,1082,Midtjylland,1121,1082
2021-05-08,1083,Syddanmark,3772,1083
2021-05-08,1084,Hovedstaden,322,1084
2021-05-08,1085,Sjælland,1892,1085
2021-05-09,1081,Nordjylland,989,1081
2021-05-09,1082,Midtjylland,109,1082
2021-05-09,1083,Syddanmark,4613,1083
2021-05-09,1084,Hovedstaden,5631,1084
2021-05-09,1085,Sjælland,4569,1085
2021-05-10,1081,Nordjylland,1337,1081
2021-05-10,1082,Midtjylland,10302,1082
2021-05-10,1083,Syddanmark,2778,1083
2021-05-10,1084,Hovedstaden,5938,1084
2021-05-10,1085,Sjælland,6196,1085
2021-05-11,1081,Nordjylland,941,1081
2021-05-11,1082,Midtjylland,8750,1082
2021-05-11,1083,Syddanmark,5083,1083
2021-05-11,1084,Hovedstaden,10101,1084
2021-05-11,1085,Sjælland,4810,1085
2021-05-12,1081,Nordjylland,1674,1081
2021-05-12,1082,Midtjylland,7892,1082
2021-05-12,1083,Syddanmark,5622,1083
2021-05-12,1084,Hovedstaden,6722,1084
2021-05-12,1085,Sjælland,4244,1085
2021-05-13,1081,Nordjylland,2113,1081
2021-05-13,1082,Midtjylland,1538,1082
2021-05-13,1083,Syddanmark,5046,1083
2021-05-13,1084,Hovedstaden,4715,1084
2021-05-13,1085,Sjælland,6252,1085
2021-05-14,1081,Nordjylland,1246,1081
2021-05-14,1082,Midtjylland,4504,1082
2021-05-14,1083,Syddanmark,3692,1083
2021-05-14,1084,Hovedstaden,6256,1084
2021-05-14,1085,Sjælland,4818,1085
2021-05-15,1081,Nordjylland,15,1081
2021-05-15,1082,Midtjylland,64,1082
2021-05-15,1083,Syddanmark,3324,1083
2021-05-15,1084,Hovedstaden,6480,1084
2021-05-15,1085,Sjælland,5510,1085
2021-05-16,1081,Nordjylland,14,1081
2021-05-16,1082,Midtjylland,77,1082
2021-05-16,1083,Syddanmark,4445,1083
2021-05-16,1084,Hovedstaden,10073,1084
2021-05-16,1085,Sjælland,5356,1085
2021-05-17,1081,Nordjylland,1348,1081
2021-05-17,1082,Midtjylland,6816,1082
2021-05-17,1083,Syddanmark,5700,1083
2021-05-17,1084,Hovedstaden,10923,1084
2021-05-17,1085,Sjælland,6228,1085
2021-05-18,1081,Nordjylland,1926,1081
2021-05-18,1082,Midtjylland,6845,1082
2021-05-18,1083,Syddanmark,4016,1083
2021-05-18,1084,Hovedstaden,10748,1084
2021-05-18,1085,Sjælland,5989,1085
2021-05-19,1081,Nordjylland,567,1081
2021-05-19,1082,Midtjylland,7266,1082
2021-05-19,1083,Syddanmark,6854,1083
2021-05-19,1084,Hovedstaden,11298,1084
2021-05-19,1085,Sjælland,5732,1085
2021-05-20,1081,Nordjylland,1680,1081
2021-05-20,1082,Midtjylland,6862,1082
2021-05-20,1083,Syddanmark,6753,1083
2021-05-20,1084,Hovedstaden,12162,1084
2021-05-20,1085,Sjælland,4964,1085
2021-05-21,1081,Nordjylland,5024,1081
2021-05-21,1082,Midtjylland,8225,1082
2021-05-21,1083,Syddanmark,5979,1083
2021-05-21,1084,Hovedstaden,8542,1084
2021-05-21,1085,Sjælland,7487,1085
2021-05-22,1081,Nordjylland,2672,1081
2021-05-22,1082,Midtjylland,161,1082
2021-05-22,1083,Syddanmark,3357,1083
2021-05-22,1084,Hovedstaden,14012,1084
2021-05-22,1085,Sjælland,5700,1085
2021-05-23,1081,Nordjylland,2751,1081
2021-05-23,1082,Midtjylland,1163,1082
2021-05-23,1083,Syddanmark,4332,1083
2021-05-23,1084,Hovedstaden,8797,1084
2021-05-23,1085,Sjælland,5511,1085
2021-05-24,1081,Nordjylland,1504,1081
2021-05-24,1082,Midtjylland,2238,1082
2021-05-24,1083,Syddanmark,6044,1083
2021-05-24,1084,Hovedstaden,7229,1084
2021-05-24,1085,Sjælland,6372,1085
2021-05-25,1081,Nordjylland,2899,1081
2021-05-25,1082,Midtjylland,13423,1082
2021-05-25,1083,Syddanmark,5965,1083
2021-05-25,1084,Hovedstaden,13910,1084
2021-05-25,1085,Sjælland,7241,1085
2021-05-26,1081,Nordjylland,3710,1081
2021-05-26,1082,Midtjylland,14743,1082
2021-05-26,1083,Syddanmark,6800,1083
2021-05-26,1084,Hovedstaden,15789,1084
2021-05-26,1085,Sjælland,6364,1085
2021-05-27,1081,Nordjylland,1996,1081
2021-05-27,1082,Midtjylland,14813,1082
2021-05-27,1083,Syddanmark,9046,1083
2021-05-27,1084,Hovedstaden,17224,1084
2021-05-27,1085,Sjælland,6217,1085
2021-05-28,1081,Nordjylland,3526,1081
2021-05-28,1082,Midtjylland,11652,1082
2021-05-28,1083,Syddanmark,9249,1083
2021-05-28,1084,Hovedstaden,10397,1084
2021-05-28,1085,Sjælland,6190,1085
2021-05-29,1081,Nordjylland,5423,1081
2021-05-29,1082,Midtjylland,1039,1082
2021-05-29,1083,Syddanmark,7019,1083
2021-05-29,1084,Hovedstaden,10906,1084
2021-05-29,1085,Sjælland,5429,1085
2021-05-30,1081,Nordjylland,6595,1081
2021-05-30,1082,Midtjylland,533,1082
2021-05-30,1083,Syddanmark,6928,1083
2021-05-30,1084,Hovedstaden,7046,1084
2021-05-30,1085,Sjælland,4710,1085
2021-05-31,1081,Nordjylland,3310,1081
2021-05-31,1082,Midtjylland,9704,1082
2021-05-31,1083,Syddanmark,9548,1083
2021-05-31,1084,Hovedstaden,8216,1084
2021-05-31,1085,Sjælland,5334,1085
2021-06-01,1081,Nordjylland,3340,1081
2021-06-01,1082,Midtjylland,12550,1082
2021-06-01,1083,Syddanmark,8582,1083
2021-06-01,1084,Hovedstaden,10389,1084
2021-06-01,1085,Sjælland,4823,1085
2021-06-02,1081,Nordjylland,4398,1081
2021-06-02,1082,Midtjylland,14184,1082
2021-06-02,1083,Syddanmark,8698,1083
2021-06-02,1084,Hovedstaden,9515,1084
2021-06-02,1085,Sjælland,5780,1085
2021-06-03,1081,Nordjylland,3202,1081
2021-06-03,1082,Midtjylland,10982,1082
2021-06-03,1083,Syddanmark,8794,1083
2021-06-03,1084,Hovedstaden,6834,1084
2021-06-03,1085,Sjælland,6395,1085
2021-06-04,1081,Nordjylland,2051,1081
2021-06-04,1082,Midtjylland,8796,1082
2021-06-04,1083,Syddanmark,7781,1083
2021-06-04,1084,Hovedstaden,16041,1084
2021-06-04,1085,Sjælland,6735,1085
2021-06-05,1081,Nordjylland,3911,1081
2021-06-05,1082,Midtjylland,1288,1082
2021-06-05,1083,Syddanmark,7929,1083
2021-06-05,1084,Hovedstaden,15481,1084
2021-06-05,1085,Sjælland,6391,1085
2021-06-06,1081,Nordjylland,5385,1081
2021-06-06,1082,Midtjylland,1094,1082
2021-06-06,1083,Syddanmark,7913,1083
2021-06-06,1084,Hovedstaden,9499,1084
2021-06-06,1085,Sjælland,6078,1085
2021-06-07,1081,Nordjylland,5705,1081
2021-06-07,1082,Midtjylland,15492,1082
2021-06-07,1083,Syddanmark,11429,1083
2021-06-07,1084,Hovedstaden,11850,1084
2021-06-07,1085,Sjælland,9121,1085
2021-06-08,1081,Nordjylland,5042,1081
2021-06-08,1082,Midtjylland,14768,1082
2021-06-08,1083,Syddanmark,10785,1083
2021-06-08,1084,Hovedstaden,16348,1084
2021-06-08,1085,Sjælland,6523,1085
2021-06-09,1081,Nordjylland,4031,1081
2021-06-09,1082,Midtjylland,17639,1082
2021-06-09,1083,Syddanmark,10369,1083
2021-06-09,1084,Hovedstaden,13281,1084
2021-06-09,1085,Sjælland,7469,1085
2021-06-10,1081,Nordjylland,7079,1081
2021-06-10,1082,Midtjylland,13875,1082
2021-06-10,1083,Syddanmark,9828,1083
2021-06-10,1084,Hovedstaden,21256,1084
2021-06-10,1085,Sjælland,6792,1085
2021-06-11,1081,Nordjylland,3983,1081
2021-06-11,1082,Midtjylland,11811,1082
2021-06-11,1083,Syddanmark,8770,1083
2021-06-11,1084,Hovedstaden,18194,1084
2021-06-11,1085,Sjælland,5757,1085
2021-06-12,1081,Nordjylland,4060,1081
2021-06-12,1082,Midtjylland,1350,1082
2021-06-12,1083,Syddanmark,5779,1083
2021-06-12,1084,Hovedstaden,18449,1084
2021-06-12,1085,Sjælland,3969,1085
2021-06-13,1081,Nordjylland,5156,1081
2021-06-13,1082,Midtjylland,1027,1082
2021-06-13,1083,Syddanmark,6019,1083
2021-06-13,1084,Hovedstaden,18700,1084
2021-06-13,1085,Sjælland,2762,1085
2021-06-14,1081,Nordjylland,5886,1081
2021-06-14,1082,Midtjylland,10996,1082
2021-06-14,1083,Syddanmark,10734,1083
2021-06-14,1084,Hovedstaden,17771,1084
2021-06-14,1085,Sjælland,7110,1085
2021-06-15,1081,Nordjylland,5026,1081
2021-06-15,1082,Midtjylland,14116,1082
2021-06-15,1083,Syddanmark,9472,1083
2021-06-15,1084,Hovedstaden,21887,1084
2021-06-15,1085,Sjælland,9869,1085
