"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-05-18,1083,Syddanmark,9375,1083
2021-05-18,1084,Hovedstaden,8934,1084
2021-05-18,1085,Sjælland,2612,1085
2021-05-19,1081,Nordjylland,3629,1081
2021-05-19,1082,Midtjylland,6896,1082
2021-05-19,1083,Syddanmark,4839,1083
2021-05-19,1084,Hovedstaden,2745,1084
2021-05-19,1085,Sjælland,4554,1085
2021-05-20,1081,Nordjylland,2187,1081
2021-05-20,1082,Midtjylland,7115,1082
2021-05-20,1083,Syddanmark,5267,1083
2021-05-20,1084,Hovedstaden,5888,1084
2021-05-20,1085,Sjælland,1893,1085
2021-05-21,1081,Nordjylland,1126,1081
2021-05-21,1082,Midtjylland,3195,1082
2021-05-21,1083,Syddanmark,6730,1083
2021-05-21,1084,Hovedstaden,6905,1084
2021-05-21,1085,Sjælland,1313,1085
2021-05-22,1081,Nordjylland,2866,1081
2021-05-22,1082,Midtjylland,113,1082
2021-05-22,1083,Syddanmark,4356,1083
2021-05-22,1084,Hovedstaden,3001,1084
2021-05-22,1085,Sjælland,1561,1085
2021-05-23,1081,Nordjylland,3,1081
2021-05-23,1082,Midtjylland,303,1082
2021-05-23,1083,Syddanmark,3466,1083
2021-05-23,1084,Hovedstaden,1245,1084
2021-05-23,1085,Sjælland,1174,1085
2021-05-24,1081,Nordjylland,3005,1081
2021-05-24,1082,Midtjylland,1170,1082
2021-05-24,1083,Syddanmark,3690,1083
2021-05-24,1084,Hovedstaden,983,1084
2021-05-24,1085,Sjælland,868,1085
2021-05-25,1081,Nordjylland,64,1081
2021-05-25,1082,Midtjylland,3448,1082
2021-05-25,1083,Syddanmark,6276,1083
2021-05-25,1084,Hovedstaden,2271,1084
2021-05-25,1085,Sjælland,816,1085
2021-05-26,1081,Nordjylland,154,1081
2021-05-26,1082,Midtjylland,2986,1082
2021-05-26,1083,Syddanmark,5410,1083
2021-05-26,1084,Hovedstaden,2803,1084
2021-05-26,1085,Sjælland,772,1085
2021-05-27,1081,Nordjylland,1725,1081
2021-05-27,1082,Midtjylland,2582,1082
2021-05-27,1083,Syddanmark,3466,1083
2021-05-27,1084,Hovedstaden,3026,1084
2021-05-27,1085,Sjælland,1601,1085
2021-05-28,1081,Nordjylland,1969,1081
2021-05-28,1082,Midtjylland,1867,1082
2021-05-28,1083,Syddanmark,2771,1083
2021-05-28,1084,Hovedstaden,1632,1084
2021-05-28,1085,Sjælland,1494,1085
2021-05-29,1081,Nordjylland,304,1081
2021-05-29,1082,Midtjylland,86,1082
2021-05-29,1083,Syddanmark,1667,1083
2021-05-29,1084,Hovedstaden,1778,1084
2021-05-29,1085,Sjælland,1383,1085
2021-05-30,1081,Nordjylland,7,1081
2021-05-30,1082,Midtjylland,84,1082
2021-05-30,1083,Syddanmark,1492,1083
2021-05-30,1084,Hovedstaden,4177,1084
2021-05-30,1085,Sjælland,1205,1085
2021-05-31,1081,Nordjylland,160,1081
2021-05-31,1082,Midtjylland,5660,1082
2021-05-31,1083,Syddanmark,2622,1083
2021-05-31,1084,Hovedstaden,8724,1084
2021-05-31,1085,Sjælland,4347,1085
2021-06-01,1081,Nordjylland,316,1081
2021-06-01,1082,Midtjylland,3298,1082
2021-06-01,1083,Syddanmark,4125,1083
2021-06-01,1084,Hovedstaden,6873,1084
2021-06-01,1085,Sjælland,3073,1085
2021-06-02,1081,Nordjylland,104,1081
2021-06-02,1082,Midtjylland,5050,1082
2021-06-02,1083,Syddanmark,2638,1083
2021-06-02,1084,Hovedstaden,6851,1084
2021-06-02,1085,Sjælland,2740,1085
2021-06-03,1081,Nordjylland,1506,1081
2021-06-03,1082,Midtjylland,6483,1082
2021-06-03,1083,Syddanmark,2550,1083
2021-06-03,1084,Hovedstaden,11286,1084
2021-06-03,1085,Sjælland,1905,1085
2021-06-04,1081,Nordjylland,1191,1081
2021-06-04,1082,Midtjylland,3955,1082
2021-06-04,1083,Syddanmark,3033,1083
2021-06-04,1084,Hovedstaden,2731,1084
2021-06-04,1085,Sjælland,3389,1085
2021-06-05,1081,Nordjylland,2157,1081
2021-06-05,1082,Midtjylland,395,1082
2021-06-05,1083,Syddanmark,1701,1083
2021-06-05,1084,Hovedstaden,1192,1084
2021-06-05,1085,Sjælland,2080,1085
2021-06-06,1081,Nordjylland,1808,1081
2021-06-06,1082,Midtjylland,574,1082
2021-06-06,1083,Syddanmark,1851,1083
2021-06-06,1084,Hovedstaden,8777,1084
2021-06-06,1085,Sjælland,2153,1085
2021-06-07,1081,Nordjylland,685,1081
2021-06-07,1082,Midtjylland,5277,1082
2021-06-07,1083,Syddanmark,2878,1083
2021-06-07,1084,Hovedstaden,11876,1084
2021-06-07,1085,Sjælland,1149,1085
2021-06-08,1081,Nordjylland,3637,1081
2021-06-08,1082,Midtjylland,5937,1082
2021-06-08,1083,Syddanmark,3313,1083
2021-06-08,1084,Hovedstaden,8285,1084
2021-06-08,1085,Sjælland,3504,1085
2021-06-09,1081,Nordjylland,3342,1081
2021-06-09,1082,Midtjylland,4665,1082
2021-06-09,1083,Syddanmark,3847,1083
2021-06-09,1084,Hovedstaden,9262,1084
2021-06-09,1085,Sjælland,3121,1085
2021-06-10,1081,Nordjylland,597,1081
2021-06-10,1082,Midtjylland,7882,1082
2021-06-10,1083,Syddanmark,4429,1083
2021-06-10,1084,Hovedstaden,2434,1084
2021-06-10,1085,Sjælland,2177,1085
2021-06-11,1081,Nordjylland,2715,1081
2021-06-11,1082,Midtjylland,5788,1082
2021-06-11,1083,Syddanmark,4326,1083
2021-06-11,1084,Hovedstaden,2438,1084
2021-06-11,1085,Sjælland,3001,1085
2021-06-12,1081,Nordjylland,3599,1081
2021-06-12,1082,Midtjylland,1810,1082
2021-06-12,1083,Syddanmark,3072,1083
2021-06-12,1084,Hovedstaden,1473,1084
2021-06-12,1085,Sjælland,2967,1085
2021-06-13,1081,Nordjylland,2241,1081
2021-06-13,1082,Midtjylland,763,1082
2021-06-13,1083,Syddanmark,3580,1083
2021-06-13,1084,Hovedstaden,1918,1084
2021-06-13,1085,Sjælland,4918,1085
2021-06-14,1081,Nordjylland,2227,1081
2021-06-14,1082,Midtjylland,11093,1082
2021-06-14,1083,Syddanmark,3327,1083
2021-06-14,1084,Hovedstaden,2041,1084
2021-06-14,1085,Sjælland,3381,1085
2021-06-15,1081,Nordjylland,2273,1081
2021-06-15,1082,Midtjylland,8876,1082
2021-06-15,1083,Syddanmark,4045,1083
2021-06-15,1084,Hovedstaden,1532,1084
2021-06-15,1085,Sjælland,1843,1085
